"","Time","n"
"725","2018-08-14",1
"726","2018-08-15",1
"727","2018-08-17",3
"728","2018-08-18",1
"729","2018-08-19",3
"730","2018-08-20",1
"731","2018-08-21",1
"732","2018-08-22",1
"733","2018-08-23",2
"734","2018-08-24",1
"735","2018-08-25",1
"736","2018-08-26",1
"737","2018-08-27",1
"738","2018-08-28",2
"739","2018-08-29",4
"740","2018-08-30",2
"741","2018-08-31",1
"742","2018-09-05",1
"743","2018-09-07",3
"744","2018-09-10",1
"745","2018-09-11",4
"746","2018-09-12",1
"747","2018-09-14",2
"748","2018-09-16",2
"749","2018-09-17",1
"750","2018-09-18",2
"751","2018-09-19",1
"752","2018-09-23",1
"753","2018-09-27",2
"754","2018-09-28",5
"755","2018-09-29",1
"756","2018-09-30",1
"757","2018-10-03",1
"758","2018-10-04",2
"759","2018-10-05",2
"760","2018-10-07",1
"761","2018-10-08",1
"762","2018-10-09",1
"763","2018-10-10",2
"764","2018-10-11",2
"765","2018-10-12",2
"766","2018-10-13",1
"767","2018-10-15",1
"768","2018-10-16",2
"769","2018-10-17",2
"770","2018-10-20",2
"771","2018-10-23",1
"772","2018-10-24",2
"773","2018-10-25",3
"774","2018-10-28",1
"775","2018-11-02",1
"776","2018-11-04",1
"777","2018-11-08",1
"778","2018-11-09",1
"779","2018-11-18",1
"780","2018-11-19",2
"781","2018-11-21",1
"782","2018-11-25",1
"783","2018-11-27",1
"784","2018-11-29",1
