"","Time","n"
"1107","2016-12-12",37
"1108","2016-12-13",42
"1109","2016-12-14",38
"1110","2016-12-15",36
"1111","2016-12-16",37
"1112","2016-12-17",21
"1113","2016-12-18",38
"1114","2016-12-19",34
"1115","2016-12-20",44
"1116","2016-12-21",45
"1117","2016-12-22",34
"1118","2016-12-23",34
"1119","2016-12-24",15
"1120","2016-12-25",12
"1121","2016-12-26",25
"1122","2016-12-27",19
"1123","2016-12-28",33
"1124","2016-12-29",25
"1125","2016-12-30",25
"1126","2016-12-31",13
"1127","2017-01-01",23
"1128","2017-01-02",19
"1129","2017-01-03",33
"1130","2017-01-04",42
"1131","2017-01-05",36
"1132","2017-01-06",46
"1133","2017-01-07",20
"1134","2017-01-08",33
"1135","2017-01-09",43
"1136","2017-01-10",38
"1137","2017-01-11",40
"1138","2017-01-12",36
"1139","2017-01-13",35
"1140","2017-01-14",19
"1141","2017-01-15",32
"1142","2017-01-16",52
"1143","2017-01-17",40
"1144","2017-01-18",45
"1145","2017-01-19",37
"1146","2017-01-20",53
"1147","2017-01-21",24
"1148","2017-01-22",33
"1149","2017-01-23",41
"1150","2017-01-24",42
"1151","2017-01-25",51
