"","Time","n"
"784","2016-01-24",6
"785","2016-01-25",19
"786","2016-01-26",22
"787","2016-01-27",23
"788","2016-01-28",25
"789","2016-01-29",24
"790","2016-01-30",10
"791","2016-01-31",11
"792","2016-02-01",27
"793","2016-02-02",25
"794","2016-02-03",21
"795","2016-02-04",20
"796","2016-02-05",28
"797","2016-02-06",3
"798","2016-02-07",18
"799","2016-02-08",20
"800","2016-02-09",16
"801","2016-02-10",19
"802","2016-02-11",21
"803","2016-02-12",23
"804","2016-02-13",3
"805","2016-02-14",8
"806","2016-02-15",13
"807","2016-02-16",21
"808","2016-02-17",27
"809","2016-02-18",30
"810","2016-02-19",27
"811","2016-02-20",3
"812","2016-02-21",13
"813","2016-02-22",27
"814","2016-02-23",21
"815","2016-02-24",23
"816","2016-02-25",23
"817","2016-02-26",20
"818","2016-02-27",10
"819","2016-02-28",7
"820","2016-02-29",25
"821","2016-03-01",23
"822","2016-03-02",25
"823","2016-03-03",23
"824","2016-03-04",20
"825","2016-03-05",7
"826","2016-03-06",9
"827","2016-03-07",18
"828","2016-03-08",27
"829","2016-03-09",24
"830","2016-03-10",25
"831","2016-03-11",22
"832","2016-03-12",12
"833","2016-03-13",11
"834","2016-03-14",16
"835","2016-03-15",22
"836","2016-03-16",25
"837","2016-03-17",24
"838","2016-03-18",21
"839","2016-03-19",11
"840","2016-03-20",7
"841","2016-03-21",24
"842","2016-03-22",24
"843","2016-03-23",21
"844","2016-03-24",33
"845","2016-03-25",15
"846","2016-03-26",8
"847","2016-03-27",10
"848","2016-03-28",17
"849","2016-03-29",26
"850","2016-03-30",16
"851","2016-03-31",19
"852","2016-04-01",13
"853","2016-04-02",6
"854","2016-04-03",9
"855","2016-04-04",14
"856","2016-04-05",22
"857","2016-04-06",24
"858","2016-04-07",29
"859","2016-04-08",19
"860","2016-04-09",10
"861","2016-04-10",14
"862","2016-04-11",17
"863","2016-04-12",25
"864","2016-04-13",27
"865","2016-04-14",22
"866","2016-04-15",25
"867","2016-04-16",6
"868","2016-04-17",16
"869","2016-04-18",11
"870","2016-04-19",25
"871","2016-04-20",22
"872","2016-04-21",24
"873","2016-04-22",25
"874","2016-04-23",3
"875","2016-04-24",7
"876","2016-04-25",11
