Date,Open,High,Low,Close,Adj Close,Volume,Hit
5/7/2018,177.350006,188.320007,177.110001,186.990005,186.990005,99836400,24
5/14/2018,187.710007,187.860001,182.220001,182.679993,182.679993,76022800,16
5/21/2018,183.770004,186.910004,182.179993,184.919998,184.919998,66212200,8
5/28/2018,184.339996,194.550003,183.710007,193.990005,193.990005,78225600,25
6/4/2018,191.839996,195,186.429993,189.100006,189.100006,91223300,33
6/11/2018,188.809998,197.279999,188.800003,195.850006,195.850006,81327200,24
6/18/2018,194.800003,203.550003,193.789993,201.740005,201.740005,101516800,17
6/25/2018,200,200.75,193.110001,194.320007,194.320007,95891100,8
7/2/2018,193.369995,203.639999,192.220001,203.229996,203.229996,66875400,21
7/9/2018,204.929993,208.429993,201.75,207.320007,207.320007,71208400,17
7/16/2018,207.5,211.5,204.839996,209.940002,209.940002,69277300,17
7/23/2018,210.580002,218.619995,173,174.889999,174.889999,334032300,100
7/30/2018,175.300003,178.850006,166.559998,177.779999,177.779999,196842800,29
8/6/2018,178.970001,188.300003,178.380005,180.259995,180.259995,146552500,42
8/13/2018,180.100006,182.610001,172.039993,173.800003,173.800003,125790500,29
8/20/2018,174.039993,175.550003,170.910004,174.649994,174.649994,90675800,17
8/27/2018,175.990005,179.789993,174.75,175.729996,175.729996,94608400,25
9/3/2018,173.5,173.889999,160,163.039993,163.039993,126851100,16
9/10/2018,163.509995,167.190002,160.339996,162.320007,162.320007,111957100,27
9/17/2018,161.919998,167.25,158.869995,162.929993,162.929993,127918500,24
9/24/2018,161.029999,171.770004,160.880005,164.460007,164.460007,133630300,36
10/1/2018,163.029999,165.880005,156.199997,157.330002,157.330002,137031800,32
10/8/2018,155.539993,160.589996,149.160004,153.740005,153.740005,134132800,24
10/15/2018,153.320007,160.490005,152.550003,154.050003,154.050003,93642000,29
10/22/2018,154.759995,157.339996,143.800003,145.369995,145.369995,115673300,32
10/29/2018,148.5,156.399994,139.029999,150.350006,150.350006,192315900,24
11/5/2018,150.100006,153.009995,144.070007,144.960007,144.960007,95988400,30
11/12/2018,144.479996,145.580002,137.770004,139.529999,139.529999,123323100,20
11/19/2018,137.610001,137.75,126.849998,131.729996,131.729996,123658000,21
11/26/2018,133,140.970001,131.850006,140.610001,140.610001,124824900,27
